;;;Krafträder;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraft-
omni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahr-
zeug-
anhänger"
Land;Regierungsbezirk;Statistische Kennziffer und Zulassungsbezirk;insgesamt;"davon 
zweirädrige 
Kfz";"davon 
dreirädrige 
Kfz";"davon 
leichte 
vierrädrige Kfz";"darunter 
weibliche 
Halter";insgesamt;"Hubraum
bis 
1.399 cm³";"1.400
bis
1.999 cm³";"2.000
und
mehr cm³";"unbe-
kannt";"und zwar 
mit
offenem
Aufbau";"und zwar 
mit
Allrad-
antrieb";"und zwar Wohn-
mobile";"und zwar 
Kranken-
wagen,
Notarzt-
einsatzfz.";"und zwar 
gewerbliche
Halter";"und zwar 
weibliche
Halter";"PKW-Dichte
je 1.000 
Einwohner";;insgesamt;"mit zulässiger Gesamtmasse
bis 2.800 kg";"2.801
bis
3.500 kg";"3.501
bis
5.000 kg";"5.001
bis
7.500 kg";"7.501
bis
12.000 kg";"12.001
bis
20.000 kg";"20.001
und
mehr kg";"unbe-
kannt";insgesamt;"davon
Sattelzug-
maschinen";"davon
land-/forst-
wirtschaft-
liche Zug-
maschinen";"davon
sonstige Zug-
maschinen";;;insgesamt;"Kfz-Dichte
je 1.000 
Einwohner";
BADEN-WUERTTEMBERG;RB STUTTGART                     ;08111  STUTTGART,STADT;26.692;25.973;491;228;3.497;302.792;97.105;143.689;53.363;8.635;19.156;50.364;3.818;111;76.738;84.071;480;366;17.458;6.482;8.325;349;833;324;390;744;11;2.841;687;1.726;428;1.975;22.640;352.124;559;19.214
;;08115  BOEBLINGEN;25.490;24.886;338;266;3.463;257.554;85.378;119.854;45.718;6.604;15.013;40.661;4.014;72;38.645;80.657;656;323;12.106;3.963;6.232;175;665;258;345;461;7;7.696;468;5.043;2.185;885;21.010;304.054;774;30.185
;;08116  ESSLINGEN;37.895;36.993;502;400;5.626;337.566;120.022;159.225;52.259;6.060;19.666;44.962;5.579;120;41.464;113.572;633;366;19.369;6.533;9.431;250;1.151;486;625;885;8;11.325;1.141;6.571;3.613;1.442;32.502;407.963;765;44.662
;;08117  GOEPPINGEN;18.641;18.179;187;275;2.796;168.923;61.381;79.315;25.905;2.322;8.929;24.054;2.792;51;17.023;57.938;653;171;10.436;3.500;5.014;133;601;404;347;433;4;8.403;516;5.546;2.341;704;19.714;207.278;801;25.935
;;08118  LUDWIGSBURG;35.830;35.003;454;373;4.943;336.361;119.100;159.926;52.017;5.318;19.221;43.370;4.884;161;31.852;116.048;617;205;19.895;6.277;9.942;239;1.176;600;515;1.136;10;11.742;1.261;7.613;2.868;1.366;33.208;405.399;744;41.606
;;08119  REMS-MURR-KREIS;30.085;29.340;357;388;4.370;269.889;96.089;126.480;43.112;4.208;15.870;36.535;4.346;91;28.222;91.792;632;354;17.194;5.711;8.635;299;1.046;410;415;673;5;13.352;708;9.845;2.799;1.139;32.039;332.013;777;40.538
;;08121  HEILBRONN,STADT;4.960;4.823;61;76;673;68.897;23.512;33.707;10.885;793;3.230;9.107;650;114;9.661;22.203;545;104;4.929;1.546;2.428;63;316;115;161;297;3;1.943;896;838;209;348;7.324;81.181;642;7.223
;;08125  HEILBRONN;25.336;24.609;304;423;3.299;250.335;79.841;128.115;38.756;3.623;12.721;40.982;3.437;14;40.118;79.170;723;214;14.065;4.431;7.124;175;937;307;366;720;5;15.572;1.244;11.056;3.272;1.068;30.919;306.590;885;41.065
;;08126  HOHENLOHEKREIS;9.700;9.397;86;217;1.235;85.062;23.022;48.122;12.896;1.022;3.824;11.453;1.102;24;13.881;26.054;754;111;4.712;1.337;2.466;59;294;84;175;297;-;9.811;519;6.844;2.448;522;15.156;109.918;975;16.472
