"Land

";Regierungsbezirk;"Statistische Kennziffer und Zulassungsbezirk
";Insgesamt;Nach Kraftstoffarten;;;;;;;Nach Emissionsgruppen;;;;;;;;;;Darunter dieselangetriebene Pkw nach Emissionsgruppen;;;;;;;;;
;;;;Benzin;Diesel;"Gas
(einschl.
bivalent)";"Hybrid 
insgesamt";"darunter
Plug-in-Hybrid";Elektro (BEV);sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;"darunter
Euro 6d";"darunter
Euro 6d-temp";sonstige;"schadstoff-
reduzierte 
insgesamt";Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;"darunter
Euro 6d";"darunter
Euro 6d-temp";sonstige;"schadstoffred.
mit Diesel-
antrieb insgesamt"
BADEN-WUERTTEMBERG;RB STUTTGART;08111 STUTTGART,STADT;299.695;190.354;68.192;2.058;27.768;15.120;11.267;56;2.886;11.225;10.596;47.908;48.044;159.711;53.019;40.695;12.156;292.526;115;1.117;2.429;3.023;12.031;48.514;13.513;13.746;203;67.432
;;08115 BOEBLINGEN;261.103;160.146;67.165;1.483;22.481;10.592;9.781;47;1.937;8.734;9.766;43.526;49.812;132.151;42.755;30.819;10.438;256.364;167;1.515;4.041;7.304;17.898;35.423;7.754;8.445;227;66.575
;;08116 ESSLINGEN;341.655;220.614;88.947;1.993;19.815;8.002;10.220;66;3.205;12.980;14.533;63.407;70.393;158.416;39.196;40.963;11.247;334.181;325;2.216;5.760;9.103;23.877;46.547;9.198;12.567;293;88.121
;;08117 GOEPPINGEN;169.407;107.662;48.817;1.477;7.849;3.173;3.570;32;1.340;6.346;7.605;32.842;38.355;75.839;16.262;19.397;4.077;166.404;137;1.219;3.303;5.916;14.706;22.974;3.707;5.572;149;48.404
;;08118 LUDWIGSBURG;336.479;227.974;79.815;2.098;18.675;8.161;7.853;64;2.935;13.967;15.122;65.604;69.927;154.207;34.535;40.749;8.520;330.282;146;2.022;5.160;8.284;21.994;41.391;6.911;10.428;148;79.145
;;08119 REMS-MURR-KREIS;271.193;181.136;68.238;1.816;13.633;5.940;6.320;50;2.449;11.914;12.725;54.323;56.009;121.104;27.646;31.358;7.029;265.553;194;1.965;4.845;7.838;18.665;33.803;5.610;8.289;183;67.493
;;08121 HEILBRONN,STADT;69.024;44.036;19.521;446;3.759;1.599;1.249;13;554;2.798;3.512;15.226;14.317;30.231;6.994;7.351;1.392;68.030;26;406;1.241;2.539;5.606;9.569;1.439;2.125;20;19.407
;;08125 HEILBRONN;251.077;155.356;72.130;1.480;16.781;4.144;5.288;42;2.165;10.420;12.314;50.043;51.996;113.106;35.181;25.955;7.072;247.116;185;1.838;5.331;9.204;21.672;32.978;6.642;7.254;434;71.642
