"Land

";Regierungsbezirk;"Statistische Kennziffer und Zulassungsbezirk
";Insgesamt;Nach Kraftstoffarten;;;;;;;Nach Emissionsgruppen;;;;;;;;;;;Darunter dieselangetriebene Pkw nach Emissionsgruppen;;;;;;;;;;
;;;;Benzin;Diesel;"Gas
(einschl.
bivalent)";"Hybrid 
insgesamt";"darunter
Plug-in-Hybrid";Elektro (BEV);sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;darunter Euro 6d-temp;darunter Euro 6d;darunter Euro 6e;sonstige;"schadstoff-
reduzierte insgesamt";Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;darunter Euro 6d-temp;darunter Euro 6d;darunter Euro 6e;sonstige;"schadstoff-
reduziert mit
Dieselantrieb insgesamt"
BADEN-WÜRTTEMBERG;RB STUTTGART;08111 STUTTGART,STADT;299.937;185.200;64.701;1.928;33.099;15.537;14.955;54;2.703;10.127;9.642;44.669;45.419;164.164;34.131;66.700;1.080;15.811;292.535;109;1.052;2.283;2.726;10.946;46.637;10.472;16.769;31;177;63.930
;;08115 BOEBLINGEN;264.362;155.638;64.003;1.443;29.365;11.762;13.873;40;1.811;7.891;8.894;40.543;47.263;138.373;27.755;53.513;455;14.531;259.306;164;1.376;3.716;6.663;16.751;34.489;7.340;8.619;21;198;63.357
;;08116 ESSLINGEN;345.023;216.982;86.215;1.988;25.928;9.016;13.845;65;2.940;11.714;13.185;59.063;67.235;168.098;37.597;54.375;291;14.887;337.122;317;2.031;5.291;8.193;22.298;46.896;10.734;12.536;21;294;85.320
;;08117 GOEPPINGEN;170.765;106.505;47.930;1.451;9.973;3.349;4.874;32;1.238;5.730;6.936;30.389;36.785;81.097;18.527;23.243;102;5.383;167.558;146;1.150;3.053;5.330;13.841;23.833;5.213;5.314;19;133;47.486
;;08118 LUDWIGSBURG;339.526;224.997;77.853;2.048;23.534;8.679;11.035;59;2.752;12.666;13.844;61.463;66.752;163.857;38.039;48.721;226;11.702;333.036;147;1.878;4.773;7.564;20.595;42.044;9.337;9.516;5;133;77.134
;;08119 REMS-MURR-KREIS;273.326;178.776;66.599;1.751;17.365;6.237;8.785;50;2.207;10.837;11.616;50.963;53.895;128.352;29.265;37.944;192;9.515;267.385;194;1.789;4.454;7.183;17.678;34.341;7.455;7.421;2;179;65.818
;;08121 HEILBRONN,STADT;69.749;43.549;19.392;404;4.593;1.654;1.799;12;525;2.522;3.127;14.376;13.845;32.355;6.860;9.738;106;1.959;68.709;29;388;1.124;2.342;5.380;9.990;1.945;2.010;14;23;19.276
;;08125 HEILBRONN;255.222;154.275;70.794;1.357;20.644;4.787;8.115;37;2.007;9.498;11.189;47.190;50.167;120.973;23.814;45.688;246;10.031;251.055;170;1.726;4.944;8.397;20.612;33.936;6.383;8.726;6;479;70.264
