"Land

";Regierungsbezirk;"Statistische Kennziffer und Zulassungsbezirk
";Insgesamt;Nach Kraftstoffarten;;;;;;;Nach Emissionsgruppen;;;;;;;;;;Darunter dieselangetriebene Pkw nach Emissionsgruppen;;;;;;;;;
;;;;Benzin;Diesel;"Gas
(einschl.
bivalent)";"Hybrid 
insgesamt";"darunter
Plug-in-Hybrid";Elektro (BEV);sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;"darunter
Euro 6d";"darunter
Euro 6d-temp";sonstige;"schadstoff-
reduzierte 
insgesamt";Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;"darunter
Euro 6d";"darunter
Euro 6d-temp";sonstige;"schadstoffred.
mit Diesel-
antrieb insgesamt"
BADEN-WUERTTEMBERG;RB STUTTGART                ;08111  STUTTGART,STADT;308411;205532;79841;2390;15561;7793;5033;54;3412;14571;13565;54402;54910;155457;17169;58848;5873;302190;135;1446;3297;4227;16134;53713;5004;19524;232;79184
;;08115  BOEBLINGEN;258266;166492;75236;1427;11411;5257;3648;52;2271;10788;12237;50235;55096;119401;15730;37936;4190;254218;172;1814;5032;9240;21248;37068;4131;10315;192;74766
;;08116  ESSLINGEN;336119;226834;96036;1931;8379;2567;2871;68;3788;16374;18391;72755;77128;137193;9172;42434;3874;329503;361;2650;7166;11668;27920;45247;2820;13439;332;95344
;;08117  GOEPPINGEN;167992;110160;52114;1305;3309;877;1075;29;1558;8005;9728;37967;42048;64585;3110;19008;1586;165477;153;1450;4207;7460;16848;21494;981;5525;189;51801
;;08118  LUDWIGSBURG;335581;235104;87396;2149;8037;2639;2826;69;3453;17708;18963;75206;77132;134271;7333;41941;3444;330177;163;2404;6387;10690;26089;40931;2153;11231;191;86855
;;08119  REMS-MURR-KREIS;268325;185627;73230;1800;5536;1799;2084;48;3027;15160;16078;62025;60596;103874;6152;32153;2764;263524;211;2388;6007;9896;21568;32352;1853;8760;220;72642
;;08121  HEILBRONN,STADT;68690;45626;20556;483;1590;509;423;12;643;3674;4430;16944;15389;26226;1305;8149;550;67856;30;468;1530;2998;6248;9172;296;2463;22;20468
;;08125  HEILBRONN;247672;158124;78304;1510;7812;1774;1878;44;2539;13246;15153;56520;55172;98448;6377;38621;3287;244365;186;2239;6396;11161;23669;33882;1575;12352;396;77929
;;08126  HOHENLOHEKREIS;84541;45789;35329;573;2334;403;506;10;894;4662;5507;20421;20065;31161;2366;11091;818;83528;100;939;2671;5231;10295;15884;1471;5928;94;35214
;;08127  SCHWAEBISCH-HALL;131825;77549;50262;1089;2064;634;837;24;1455;7579;9167;32964;33630;43701;1743;12121;1391;129887;181;1712;4426;8531;16940;18030;561;4060;185;50005
;;08128  MAIN-TAUBER-KREIS;90494;53963;33638;655;1792;403;425;21;861;5011;6133;23649;24267;28773;1206;7512;732;89426;108;1028;2846;5849;11951;11612;311;2614;96;33490
