;;;Kraftr‰der;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraft-
omni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahr-
zeug-
anh‰nger"
Land;Regierungsbezirk;Statistische Kennziffer und Zulassungsbezirk;insgesamt;"davon 
zweir‰drige 
Kfz";"davon 
dreir‰drige 
Kfz";"davon 
leichte 
vierr‰drige Kfz";"darunter 
weibliche 
Halter";insgesamt;"Hubraum
bis 
1.399 cm≥";"1.400
bis
1.999 cm≥";"2.000
und
mehr cm≥";"unbe-
kannt";"und zwar 
mit
offenem
Aufbau";"und zwar 
mit
Allrad-
antrieb";"und zwar Wohn-
mobile";"und zwar 
Kranken-
wagen,
Notarzt-
einsatzfz.";"und zwar 
gewerbliche
Halter";"und zwar 
weibliche
Halter";"PKW-Dichte
je 1.000 
Einwohner";;insgesamt;"mit zul‰ssiger Gesamtmasse
bis 2.800 kg";"2.801
bis
3.500 kg";"3.501
bis
5.000 kg";"5.001
bis
7.500 kg";"7.501
bis
12.000 kg";"12.001
bis
20.000 kg";"20.001
und
mehr kg";"unbe-
kannt";insgesamt;"darunter 
Sattelzug-
maschinen";"darunter
land-/forst-
wirtschaft-
liche Zug-
maschinen";"land-/forst-
wirtschaft-
liche Zug-
maschinen
beinhalten
leichte Zug-maschinen";;;insgesamt;"Kfz-Dichte
je 1.000 
Einwohner";
BADEN-WUERTTEMBERG;RB STUTTGART                     ;08111  STUTTGART,STADT                  ;26.263;25.561;460;242;3.446;308.411;96.873;150.247;56.023;5.268;19.301;49.722;3.512;114;80.799;84.340;485;369;17.321;6.453;8.181;360;831;321;396;770;9;2.815;696;1.397;149;1.846;22.351;357.025;561;19.011
;;08115  BOEBLINGEN                       ;25.121;24.516;316;289;3.435;258.266;85.617;122.043;46.905;3.701;15.172;38.686;3.563;74;38.948;80.309;657;267;11.491;3.762;5.813;175;666;273;338;456;8;7.587;459;4.550;274;874;20.219;303.606;773;29.549
;;08116  ESSLINGEN                        ;37.117;36.201;480;436;5.481;336.119;119.669;160.504;53.018;2.928;19.730;43.327;4.922;121;40.626;112.958;628;345;18.899;6.450;8.934;256;1.162;495;656;936;10;11.186;1.182;5.790;338;1.388;31.818;405.054;757;43.950
;;08117  GOEPPINGEN                       ;18.097;17.637;179;281;2.692;167.992;61.170;79.513;26.208;1.101;8.875;23.129;2.447;46;16.630;57.506;651;174;10.112;3.530;4.675;132;608;399;334;430;4;8.323;557;5.060;240;687;19.296;205.385;796;25.498
;;08118  LUDWIGSBURG                      ;34.689;33.911;406;372;4.743;335.581;118.097;161.913;52.678;2.893;19.230;41.604;4.282;156;30.715;115.235;615;204;19.348;6.238;9.448;237;1.170;603;529;1.114;9;11.575;1.228;6.745;388;1.322;32.449;402.719;738;40.624
;;08119  REMS-MURR-KREIS                  ;29.415;28.668;348;399;4.281;268.325;95.276;127.452;43.467;2.130;15.899;35.046;3.794;85;27.559;91.109;628;381;16.545;5.566;8.120;302;1.032;415;403;703;4;13.265;744;8.980;482;1.090;31.281;329.021;770;39.620
;;08121  HEILBRONN,STADT                  ;4.761;4.621;57;83;642;68.690;23.379;33.919;10.960;432;3.221;8.687;546;96;9.635;22.119;543;105;4.746;1.520;2.295;71;303;110;158;286;3;1.827;813;702;64;358;7.036;80.487;636;6.983
;;08125  HEILBRONN                        ;24.774;24.045;271;458;3.269;247.672;77.941;128.648;39.135;1.948;12.772;39.612;3.032;14;38.884;78.328;719;199;13.461;4.308;6.705;169;934;304;352;684;5;15.393;1.189;10.005;436;1.035;30.088;302.534;878;39.990
;;08126  HOHENLOHEKREIS                   ;9.399;9.089;85;225;1.172;84.541;22.842;48.118;13.051;530;3.741;10.989;932;22;13.883;25.775;750;111;4.548;1.319;2.310;58;298;84;178;300;1;9.718;491;6.134;224;502;14.879;108.819;966;15.949
