;;;Kraftr‰der;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraftomni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahrzeug-
anh‰nger"
Land;Regierungsbezirk;Statistische Kennziffer und Zulassungsbezirk;insgesamt;"davon 
zweir‰drige 
Kfz";"davon 
dreir‰drige 
Kfz";"davon 
leichte 
vierr‰drige Kfz";"darunter 
Halterinnen";insgesamt;"Hubraum
bis 
1.399 cm≥";"1.400
bis
1.999 cm≥";"2.000
und
mehr cm≥";"unbe-
kannt";"und zwar 
mit
offenem
Aufbau";"und zwar 
mit
Allrad-
antrieb";"und zwar Wohn-
mobile";"und zwar 
Kranken-
wagen,
Notarzt-
einsatzfz.";"und zwar 
gewerbliche
Halterinnen
und Halter";"und zwar
Halterinnen";"PKW-Dichte
je 1.000 
Einwohner";;insgesamt;"mit zul‰ssiger Gesamtmasse
bis 2.800 kg";"2.801
bis
3.500 kg";"3.501
bis
5.000 kg";"5.001
bis
7.500 kg";"7.501
bis
12.000 kg";"12.001
bis
20.000 kg";"20.001
und
mehr kg";"unbe-
kannt";insgesamt;"davon
Sattelzug-
maschinen";"davon
land-/forst-
wirtschaft-
liche Zug-
maschinen";"davon
sonstige Zug-
maschinen";;;insgesamt;"Kfz-Dichte
je 1.000 
Einwohner";
BADEN-WUERTTEMBERG;RB STUTTGART;08111 STUTTGART,STADT;28.548;27.812;537;199;3.789;301.985;93.124;138.811;52.015;18.035;18.417;57.664;4.683;127;78.570;82.718;477;380;18.444;6.712;9.022;391;771;345;387;807;9;3.131;798;1.906;427;2.590;24.545;355.078;561;19.716
;;08115 BOEBLINGEN;26.719;26.075;393;251;3.591;265.649;84.848;119.709;45.089;16.003;15.085;49.212;5.177;89;43.143;82.156;662;359;13.294;4.201;7.116;177;728;215;361;489;7;7.938;508;5.306;2.124;946;22.537;314.905;785;31.448
;;08116 ESSLINGEN;40.747;39.889;526;332;6.221;345.526;120.137;160.187;50.283;14.919;19.157;52.116;7.108;115;46.590;115.351;637;356;20.916;6.941;10.621;243;1.132;455;645;869;10;11.518;1.077;6.969;3.472;1.531;34.321;420.594;775;45.978
;;08117 GOEPPINGEN;19.795;19.324;229;242;3.074;171.708;60.995;79.818;25.231;5.664;8.857;26.951;3.660;67;18.715;58.792;651;169;11.452;3.682;5.855;128;545;375;440;423;4;8.579;477;5.860;2.242;723;20.923;212.426;806;27.297
;;08118 LUDWIGSBURG;38.394;37.559;528;307;5.456;342.151;118.705;158.867;51.389;13.190;18.739;49.863;6.300;185;36.652;117.009;618;196;21.419;6.616;11.199;235;1.083;588;540;1.143;15;11.949;1.314;7.903;2.732;1.460;35.024;415.569;751;43.395
;;08119 REMS-MURR-KREIS;32.046;31.312;392;342;4.752;275.067;96.785;126.376;41.834;10.072;15.630;41.322;5.553;93;29.925;93.829;633;394;18.772;6.140;9.914;271;990;370;419;660;8;13.635;741;10.254;2.640;1.178;33.979;341.092;785;42.282
;;08121 HEILBRONN,STADT;5.432;5.292;73;67;720;70.361;23.232;34.228;10.786;2.115;3.152;10.941;826;128;10.679;22.306;541;108;5.356;1.604;2.777;63;304;101;170;334;3;2.142;1.052;886;204;379;7.985;83.778;644;7.689
;;08125 HEILBRONN;27.175;26.430;357;388;3.767;258.199;79.752;130.683;37.948;9.816;12.681;46.185;4.482;15;43.686;81.656;727;262;15.645;4.847;8.352;160;898;296;372;711;9;15.645;1.156;11.292;3.197;1.113;32.665;318.039;895;42.749
;;08126 HOHENLOHEKREIS;10.283;9.988;110;185;1.341;87.950;23.599;47.730;12.642;3.979;3.805;13.240;1.426;23;15.286;26.844;760;129;5.192;1.425;2.902;52;278;84;161;289;1;10.050;551;7.142;2.357;524;15.895;114.128;986;17.400
