league,season,matchday,home,away,goals_home,goals_away,date,location_id,city,stadium
bl1,2024,2,Holstein Kiel,VfL Wolfsburg,0,2,2024-08-31T13:30:00Z,,,
bl1,2024,3,Holstein Kiel,FC Bayern München,1,6,2024-09-14T16:30:00Z,,,
bl1,2024,5,Holstein Kiel,Eintracht Frankfurt,2,4,2024-09-29T13:30:00Z,,,
bl1,2024,7,Holstein Kiel,1. FC Union Berlin,0,2,2024-10-20T13:30:00Z,,,
bl1,2024,9,Holstein Kiel,1. FC Heidenheim 1846,1,0,2024-11-02T14:30:00Z,,,
bl1,2024,11,Holstein Kiel,1. FSV Mainz 05,0,3,2024-11-24T14:30:00Z,,,
bl1,2024,13,Holstein Kiel,RB Leipzig,0,2,2024-12-07T14:30:00Z,,,
bl1,2024,15,Holstein Kiel,FC Augsburg,5,1,2024-12-21T14:30:00Z,,,
bl1,2024,17,Holstein Kiel,Borussia Dortmund,4,2,2025-01-14T17:30:00Z,,,
bl1,2024,18,Holstein Kiel,TSG Hoffenheim,1,3,2025-01-18T14:30:00Z,,,
bl1,2024,21,Holstein Kiel,VfL Bochum,2,2,2025-02-09T14:30:00Z,,,
bl1,2024,23,Holstein Kiel,Bayer 04 Leverkusen,0,2,2025-02-22T14:30:00Z,,,
bl1,2024,25,Holstein Kiel,VfB Stuttgart,2,2,2025-03-08T14:30:00Z,,,
bl1,2024,27,Holstein Kiel,SV Werder Bremen,0,3,2025-03-29T14:30:00Z,,,
bl1,2024,29,Holstein Kiel,FC St. Pauli,1,2,2025-04-12T13:30:00Z,,,
bl1,2024,31,Holstein Kiel,Borussia Mönchengladbach,4,3,2025-04-26T13:30:00Z,,,
bl1,2024,33,Holstein Kiel,SC Freiburg,1,2,2025-05-10T13:30:00Z,,,
bl2,2020,1,Holstein Kiel,SC Paderborn 07,0,0,2020-09-20T11:30:00Z,,,
bl2,2020,3,Holstein Kiel,Fortuna Düsseldorf,1,0,2020-10-04T11:30:00Z,,,
bl2,2020,5,Holstein Kiel,SpVgg Greuther Fürth,0,2,2020-10-24T11:00:00Z,,,
bl2,2020,7,Holstein Kiel,Hamburger SV,0,1,2020-11-09T19:30:00Z,,,
bl2,2020,8,Holstein Kiel,1. FC Heidenheim 1846,1,0,2020-11-21T12:00:00Z,,,
bl2,2020,10,Holstein Kiel,VfL Bochum,1,1,2020-12-04T17:30:00Z,,,
bl2,2020,12,Holstein Kiel,1. FC Nürnberg,0,0,2020-12-16T17:30:00Z,,,
bl2,2020,14,Holstein Kiel,VfL Osnabrück,0,2,2021-01-03T12:30:00Z,,,
bl2,2020,16,Holstein Kiel,Karlsruher SC,0,2,2021-01-17T12:30:00Z,,,
bl2,2020,19,Holstein Kiel,Eintracht Braunschweig,3,0,2021-01-30T12:00:00Z,,,
bl2,2020,21,Holstein Kiel,Würzburger Kickers,0,0,2021-02-12T17:30:00Z,,,
bl2,2020,23,Holstein Kiel,Erzgebirge Aue,0,0,2021-02-27T12:00:00Z,,,
bl2,2020,30,Holstein Kiel,SV Sandhausen,1,0,2021-05-04T16:30:00Z,,,
bl2,2020,32,Holstein Kiel,FC St. Pauli,2,0,2021-05-07T16:30:00Z,,,
bl2,2020,26,Holstein Kiel,Hannover 96,1,0,2021-05-10T16:00:00Z,,,
bl2,2020,28,Holstein Kiel,Jahn Regensburg,1,1,2021-05-13T13:30:00Z,,,
bl2,2020,34,Holstein Kiel,SV Darmstadt 98,1,0,2021-05-23T13:30:00Z,,,
bl2,2021,2,Holstein Kiel,FC Schalke 04,0,2,2021-08-01T11:30:00Z,,,
bl2,2021,3,Holstein Kiel,Jahn Regensburg,0,2,2021-08-14T11:30:00Z,,,
bl2,2021,5,Holstein Kiel,Erzgebirge Aue,2,0,2021-08-28T11:30:00Z,,,
bl2,2021,7,Holstein Kiel,Hannover 96,0,3,2021-09-18T11:30:00Z,,,
bl2,2021,9,Holstein Kiel,Hansa Rostock,0,2,2021-10-02T11:30:00Z,,,
bl2,2021,11,Holstein Kiel,SV Darmstadt 98,1,1,2021-10-23T11:30:00Z,,,
bl2,2021,13,Holstein Kiel,Dynamo Dresden,0,1,2021-11-05T17:30:00Z,,,
bl2,2021,15,Holstein Kiel,SV Werder Bremen,1,0,2021-11-27T19:30:00Z,,,
bl2,2021,17,Holstein Kiel,SV Sandhausen,1,1,2021-12-11T12:30:00Z,,,
bl2,2021,18,Holstein Kiel,FC St. Pauli,3,0,2021-12-17T17:30:00Z,,,
bl2,2021,21,Holstein Kiel,Fortuna Düsseldorf,0,0,2022-02-06T12:30:00Z,,,
bl2,2021,23,Holstein Kiel,Karlsruher SC,0,1,2022-02-19T12:30:00Z,,,
bl2,2021,25,Holstein Kiel,SC Paderborn 07,1,1,2022-03-04T17:30:00Z,,,
bl2,2021,27,Holstein Kiel,FC Ingolstadt 04,1,0,2022-03-20T12:30:00Z,,,
bl2,2021,29,Holstein Kiel,Hamburger SV,1,0,2022-04-10T11:30:00Z,,,
bl2,2021,31,Holstein Kiel,1. FC Heidenheim 1846,0,0,2022-04-23T11:30:00Z,,,
bl2,2021,33,Holstein Kiel,1. FC Nürnberg,2,0,2022-05-08T11:30:00Z,,,
bl2,2022,2,Holstein Kiel,1. FC Kaiserslautern,0,1,2022-07-23T11:00:00Z,,,
